Stufe,Holz,Marmor,Dauer
1,212,0,673
2,269,78,967
3,354,127,1306
4,479,199,1699
5,659,303,2149
6,913,450,2666
7,1270,656,3256
8,1766,942,3900
9,2452,1336,4680
10,3392,1876,5520
11,4675,2613,6480
12,6416,3613,7620
13,8772,4964,8880
14,11947,6783,10260
15,16212,9225,11820
16,21926,12494,13620
17,29558,16856,15600
18,39733,22666,17820
19,53266,30388,20280
20,71232,40632,23100
21,95039,54194,26160
22,126535,72122,29640
23,168141,95784,33480
24,223023,126973,37740
25,295324,168028,42540
26,390458,222004,47820
27,515492,292885,53700
28,679650,385872,60240
29,894958,507733,67500
30,1180000,667289,75540
31,1550000,876011,84480
32,2030000,1150000,93600
33,2660000,1510000,104400
34,3490000,1970000,115200
35,4560000,2580000,129600
36,5970000,3370000,144000
37,7800000,4400000,158400
38,10180000,5740000,176400
39,13290000,7480000,198000
40,17330000,9750000,219600
41,22580000,12690000,244800
42,29410000,16520000,270000
43,38290000,21480000,298800
44,49810000,27930000,331200
45,64770000,36290000,367200
46,84190000,47130000,406800
47,109370000,61180000,450000
48,142020000,79380000,500400
49,184330000,102940000,550800
50,239160000,133450000,608400
