Stufe,Holz,Marmor,Dauer
1,137,80,678
2,189,109,755
3,255,145,842
4,336,188,938
5,436,241,1044
6,557,305,1162
7,706,381,1291
8,885,473,1434
9,1101,582,1591
10,1359,712,1763
11,1669,865,1952
12,2039,1045,2159
13,2478,1259,2385
14,3000,1510,2632
15,3617,1803,2901
16,4348,2147,3195
17,5209,2548,3515
18,6223,3017,3840
19,7415,3564,4200
20,8816,4199,4620
21,10458,4937,5100
22,12383,5793,5580
23,14634,6787,6060
24,17266,7936,6660
25,20339,9267,7260
26,23923,10804,7920
27,28100,12581,8640
28,32965,14630,9420
29,38625,16994,10260
30,45206,19717,11220
31,52853,22853,12180
32,61733,26462,13260
33,72036,30612,14432
34,83984,35382,15660
35,97832,40860,16980
36,113873,47150,18420
37,132445,54368,19980
38,153936,62646,21660
39,178793,72137,23460
40,207529,83011,25380
41,240736,95467,27480
42,279093,109727,29700
43,323380,126048,32100
44,374494,144719,34680
45,433466,166072,37500
46,501480,190481,40500
47,579893,218376,43680
48,670266,250245,47160
49,774389,286641,50880
50,894317,328195,54840
