Stufe,Holz,Marmor,Dauer
1,232,107,11m 11s
2,271,144,12m 55s
3,318,189,14m 50s
4,376,246,16m 56s
5,447,316,19m 13s
6,532,400,21m 42s
7,635,505,24m 25s
8,759,631,27m 22s
9,906,782,30m 35s
10,1.082,964,34m 4s
11,1.290,1.183,37m 50s
12,1.537,1.444,41m 55s
13,1.827,1.754,46m 20s
14,2.170,2.123,51m 7s
15,2.574,2.561,56m 16s
16,3.047,3.079,1h 1m
17,3.600,3.691,1h 7m
18,4.247,4.413,1h 14m
19,5.003,5.263,1h 21m
20,5.884,6.262,1h 28m
21,6.910,7.436,1h 36m
22,8.104,8.813,1h 45m
23,9.490,10.426,1h 54m
24,11.099,12.313,2h 4m
25,12.964,14.519,2h 15m
26,15.126,17.097,2h 26m
27,17.627,20.105,2h 39m
28,20.519,23.612,2h 52m
29,23.861,27.697,3h 6m
30,27.721,32.454,3h 21m
31,32.173,37.987,3h 37m
32,37.309,44.421,3h 55m
33,43.226,51.896,4h 13m
34,50.042,60.574,4h 33m
35,57.888,70.645,4h 54m
36,66.914,82.325,5h 17m
37,77.292,95.865,5h 41m
38,89.221,111.553,6h 7m
39,102.923,129.719,6h 34m
40,118.658,150.748,7h 3m
41,136.717,175.077,7h 35m
42,157.436,203.215,8h 8m
43,181.196,235.743,8h 44m
44,208.434,273.331,9h 22m
45,239.647,316.751,10h 2m
46,275.404,366.890,10h 45m
47,316.350,424.766,11h 31m
48,363.224,491.551,12h 20m
49,416.867,568.593,13h 12m
50,478.239,657.437,14h 7m
