Stufe,Holz,Marmor,Dauer
1,206,0,11m 45s
2,260,63,17m 14s
3,343,107,23m 34s
4,463,172,30m 50s
5,636,265,39m 10s
6,882,397,48m 40s
7,1.225,582,59m 30s
8,1.702,839,1h 11m
9,2.360,1.196,1h 25m
10,3.263,1.684,1h 41m
11,4.493,2.350,1h 59m
12,6.163,3.255,2h 19m
13,8.420,4.481,2h 41m
14,11.458,6.133,3h 6m
15,15.537,8.353,3h 35m
16,20.999,11.329,4h 6m
17,28.289,15.308,4h 41m
18,38.001,20.613,5h 21m
19,50.909,27.674,6h 5m
20,68.034,37.050,6h 54m
21,90.712,49.483,7h 48m
22,120.694,65.940,8h 49m
23,160.272,87.689,9h 57m
24,212.445,116.394,11h 11m
25,281.131,154.228,12h 34m
26,371.447,204.034,14h 7m
27,490.069,269.527,15h 49m
28,645.705,355.556,17h 42m
29,849.698,468.448,19h 47m
30,1.12M,616.451,22h 5m
31,1.47M,810.315,1T 38m
32,1.92M,1.06M,1T 3h
33,2.52M,1.40M,1T 6h
34,3.30M,1.83M,1T 9h
35,4.31M,2.40M,1T 13h
36,5.64M,3.13M,1T 17h
37,7.36M,4.10M,1T 22h
38,9.61M,5.35M,2T 3h
39,12.53M,6.99M,2T 9h
40,16.33M,9.12M,2T 15h
41,21.27M,11.89M,2T 22h
42,27.69M,15.50M,3T 5h
43,36.02M,20.18M,3T 13h
44,46.83M,26.27M,3T 22h
45,60.85M,34.18M,4T 8h
46,79.04M,44.44M,4T 19h
47,102.61M,57.76M,5T 7h
48,133.16M,75.04M,5T 20h
49,172.72M,97.45M,6T 10h
50,223.94M,126.50M,7T 2h
