Stufe,Holz,Marmor,Dauer
1,217,0,11m 33s
2,276,75,16m 49s
3,365,120,22m 54s
4,493,185,29m 54s
5,678,278,37m 55s
6,939,411,47m 6s
7,1.306,597,57m 34s
8,1.815,857,1h 9m
9,2.518,1.215,1h 22m
10,3.483,1.708,1h 38m
11,4.797,2.382,1h 55m
12,6.580,3.298,2h 14m
13,8.991,4.537,2h 36m
14,12.238,6.211,3h 1m
15,16.599,8.461,3h 28m
16,22.435,11.480,3h 59m
17,30.229,15.518,4h 34m
18,40.611,20.908,5h 12m
19,54.413,28.088,5h 55m
20,72.725,37.630,6h 43m
21,96.977,50.291,7h 37m
22,129.044,67.063,8h 37m
23,171.380,89.247,9h 43m
24,227.194,118.548,10h 57m
25,300.682,157.198,12h 19m
26,397.322,208.118,13h 50m
27,524.264,275.127,15h 30m
28,690.835,363.215,17h 22m
29,909.186,478.899,19h 26m
30,1.20M,630.680,21h 43m
31,1.57M,829.645,1T 14m
32,2.06M,1.09M,1T 3h
33,2.70M,1.43M,1T 6h
34,3.53M,1.88M,1T 9h
35,4.62M,2.46M,1T 13h
36,6.04M,3.22M,1T 17h
37,7.89M,4.22M,1T 22h
38,10.29M,5.51M,2T 3h
39,13.42M,7.20M,2T 8h
40,17.50M,9.40M,2T 14h
41,22.79M,12.27M,2T 21h
42,29.67M,16.00M,3T 5h
43,38.60M,20.85M,3T 13h
44,50.19M,27.16M,3T 22h
45,65.23M,35.37M,4T 8h
46,84.73M,46.02M,4T 19h
47,110.01M,59.86M,5T 7h
48,142.77M,77.83M,5T 20h
49,185.21M,101.15M,6T 10h
50,240.16M,131.40M,7T 2h
