Stufe,Holz,Marmor,Dauer
1,269,102,826
2,307,133,907
3,355,175,997
4,414,226,1097
5,484,289,1208
6,571,366,1329
7,675,460,1464
8,800,574,1611
9,949,713,1773
10,1128,880,1950
11,1340,1080,2145
12,1590,1320,2357
13,1887,1606,2589
14,2236,1948,2843
15,2648,2353,3119
16,3131,2834,3419
17,3697,3404,3720
18,4361,4077,4080
19,5135,4872,4440
20,6040,5808,4860
21,7095,6911,5340
22,8323,8206,5820
23,9752,9728,6360
24,11411,11513,6960
25,13338,13605,7560
26,15571,16052,8220
27,18160,18916,9000
28,21156,22261,9780
29,24622,26168,10620
30,28629,30725,11520
31,33257,36040,12540
32,38601,42231,13620
33,44766,49440,14760
34,51873,57829,16020
35,60062,67585,17340
36,69495,78925,18780
37,80353,92099,20340
38,92846,107395,22020
39,107213,125147,23820
40,123727,145739,25740
41,142700,169616,27780
42,164492,197290,30060
43,189511,229351,32460
44,218221,266480,35040
45,251157,309460,37800
46,288926,359198,40740
47,332224,416736,43920
48,381843,483273,47340
49,438689,560191,51000
50,503791,649084,54960
