Stufe,Holz,Marmor,Dauer,Kapazität
1,111,0,40s,8.000
2,144,0,2m 46s,16.401
3,189,0,5m 21s,25.454
4,247,81,8m 32s,35.330
5,325,129,12m 23s,46.181
6,425,192,17m 3s,58.158
7,554,272,22m 40s,71.420
8,718,373,29m 23s,86.137
9,926,502,37m 24s,102.492
10,1.190,665,46m 56s,120.687
11,1.522,868,58m 13s,140.942
12,1.937,1.123,1h 11m,163.502
13,2.458,1.441,1h 27m,188.637
14,3.106,1.836,1h 45m,216.645
15,3.911,2.326,2h 7m,247.859
16,4.911,2.931,2h 33m,282.646
17,6.147,3.678,3h 2m,321.416
18,7.673,4.598,3h 37m,364.622
19,9.555,5.729,4h 18m,412.768
20,11.870,7.119,5h 5m,466.416
21,14.716,8.821,6h 30s,526.188
22,18.207,10.904,7h 4m,592.779
23,22.485,13.450,8h 18m,666.958
24,27.721,16.557,9h 44m,749.584
25,34.120,20.346,11h 24m,841.608
26,41.935,24.962,13h 19m,944.094
27,51.468,30.578,15h 32m,1.06M
28,63.086,37.404,18h 6m,1.19M
29,77.233,45.696,21h 3m,1.33M
30,94.445,55.758,1T 28m,1.48M
31,115.367,67.959,1T 4h,1.66M
32,140.782,82.743,1T 8h,1.85M
33,171.634,100.643,1T 14h,2.07M
34,209.057,122.302,1T 20h,2.31M
35,254.424,148.494,2T 3h,2.58M
36,309.388,180.145,2T 11h,2.88M
37,375.940,218.374,2T 20h,3.22M
38,456.478,264.521,3T 6h,3.59M
39,553.889,320.197,3T 18h,4.00M
40,671.652,387.335,4T 8h,4.46M
