Stufe,Arbeiter,Holz,Dauer
1,20,1303,0s
2,32,2689,50m 24s
3,48,4373,1h 19m
4,66,7421,1h 51m
5,88,10037,2h 26m
6,110,13333,3h 5m
7,132,20665,3h 47m
8,158,26849,4h 34m
9,184,37305,5h 25m
10,212,47879,6h 22m
11,240,65572,7h 24m
12,270,89127,8h 33m
13,302,106217,9h 48m
14,332,152739,11h 11m
15,366,193512,12h 42m
16,400,244886,14h 22m
17,434,309618,16h 13m
18,468,391460,18h 14m
19,504,414190,20h 27m
20,542,552058,22h 54m
21,578,660106,1T 1h
22,618,925396,1T 4h
23,656,1108885,1T 7h
24,696,1471979,1T 11h
25,736,1855942,1T 15h
26,776,2339735,1T 19h
27,818,3096779,2T 26m
28,860,3903252,2T 5h
29,904,5153666,2T 11h
30,946,6199765,2T 17h
31,990,8185063,3T 46m
32,1034,10314552,3T 8h
33,1080,13588513,3T 16h
34,1126,17122961,4T 2h
35,1172,21576366,4T 12h
