Stufe,Holz,Marmor,Dauer
1,83,0,495
2,114,20,587
3,152,49,688
4,201,86,800
5,261,130,922
6,335,184,1057
7,424,251,1204
8,533,332,1365
9,665,430,1542
10,823,548,1734
11,1012,690,1943
12,1239,859,2171
13,1510,1061,2419
14,1832,1303,2689
15,2214,1590,2981
16,2668,1930,3298
17,3204,2332,3642
18,3837,2808,3960
19,4584,3370,4380
20,5464,4032,4800
21,6499,4810,5280
22,7714,5726,5820
23,9140,6800,6360
24,10810,8061,6960
25,12766,9537,7560
26,15053,11266,8280
27,17727,13288,9000
28,20847,15649,9780
29,24489,18407,10620
30,28734,21624,11580
31,33679,25374,12540
32,39436,29743,13620
33,46132,34830,14760
34,53919,40749,15960
35,62968,47631,17280
36,73477,55630,18660
37,85674,64921,20160
38,99826,75709,21780
39,116236,88227,23520
40,135257,102746,25380
41,157292,119579,27360
42,182810,139087,29520
43,212350,161686,31800
44,246531,187853,34260
45,286067,218142,36840
46,331782,253190,39660
47,384623,293729,42600
48,445677,340604,45840
49,516201,394788,49200
50,597637,457400,52860
