Stufe,Holz,Wein,Marmor,Kristall,Schwefel,Dauer
1,584,0,0,0,0,10560
2,4763,0,1148,0,0,13680
3,14027,0,2578,0,2813,18660
4,33497,9174,5950,0,7073,26160
5,73021,17005,13588,18834,16664,37500
6,151297,34084,30430,34698,37695,54180
7,303489,70614,66835,68675,82897,78660
8,595210,147559,144332,140350,178579,111600
9,1150000,307701,307318,289736,378694,162000
10,2190000,637746,646750,598056,793140,234000
11,4120000,1310000,1350000,1230000,1640000,338400
12,7700000,2680000,2790000,2510000,3380000,482400
13,14290000,5450000,5720000,5110000,6910000,684000
14,26360000,11000000,11680000,10330000,14020000,968400
15,48380000,22110000,23710000,20780000,28310000,1364400
16,88390000,44250000,47930000,41630000,56920000,1911600
17,160880000,88200000,96520000,83100000,114010000,2674800
18,291780000,175180000,193680000,165290000,227540000,3715200
19,527560000,346900000,387470000,327750000,452730000,5097600
20,951230000,685030000,773000000,648130000,898290000,7171200
21,1710000000,1350000000,1540000000,1280000000,1780000000,9849600
22,3070000000,2650000000,3050000000,2520000000,3510000000,13651200
23,5500000000,5200000000,6050000000,4940000000,6920000000,18748800
24,9830000000,10180000000,11970000000,9690000000,13610000000,25833600
25,17530000000,19900000000,23630000000,18960000000,26720000000,34128000
26,31240000000,38820000000,46570000000,37040000000,52380000000,47088000
27,55560000000,75630000000,91660000000,72260000000,102540000000,65664000
28,98700000000,147130000000,180150000000,140770000000,200430000000,88992000
29,175100000000,285870000000,353620000000,273900000000,391310000000,123120000
30,310280000000,554780000000,693320000000,532290000000,763030000000,168048000
