Stufe,Holz,Wein,Marmor,Kristall,Schwefel,Dauer
1,469,0,0,0,0,3h 5m
2,4.409,0,1.155,0,0,4h 4m
3,13.180,0,2.834,0,2.856,5h 34m
4,31.692,9.982,6.745,0,6.919,7h 51m
5,69.420,17.369,15.507,19.688,16.103,11h 15m
6,144.426,33.559,34.619,34.558,36.308,16h 14m
7,290.818,68.342,75.487,66.584,79.884,23h 27m
8,572.472,141.943,161.559,134.510,172.440,1T 9h
9,1.11M,295.814,340.668,276.852,366.667,2T 34m
10,2.12M,614.365,709.755,572.221,770.268,2T 21h
11,4.01M,1.27M,1.46M,1.18M,1.60M,4T 2h
12,7.51M,2.60M,3.00M,2.42M,3.31M,5T 19h
13,13.99M,5.31M,6.09M,4.95M,6.77M,8T 5h
14,25.91M,10.77M,12.30M,10.06M,13.79M,11T 12h
15,47.72M,21.73M,24.71M,20.34M,27.94M,16T 2h
16,87.51M,43.67M,49.44M,40.97M,56.37M,22T 9h
17,159.84M,87.43M,98.54M,82.21M,113.26M,1M 1T
18,290.95M,174.42M,195.71M,164.38M,226.80M,1M 13T
19,527.95M,346.91M,387.49M,327.68M,452.73M,1M 29T
20,955.37M,688.07M,765.09M,651.42M,901.26M,2M 21T
21,1.72G,1.36G,1.51G,1.29G,1.79G,3M 21T
22,3.11G,2.69G,2.96G,2.56G,3.55G,5M 3T
23,5.58G,5.29G,5.81G,5.05G,7.01G,6M 29T
24,10.01G,10.41G,11.37G,9.94G,13.83G,9M 15T
25,17.93G,20.43G,22.21G,19.56G,27.25G,1J 24T
26,32.06G,40.03G,43.32G,38.42G,53.60G,1J 5M
27,57.23G,78.33G,84.38G,75.36G,105.26G,1J 11M
28,102.03G,153.06G,164.14G,147.59G,206.44G,2J 8M
29,181.66G,298.71G,318.87G,288.68G,404.36G,3J 7M
30,323.05G,582.24G,618.75G,564.00G,791.08G,4J 10M
