Stufe,Holz,Marmor,Dauer
1,215,0,795
2,271,78,1098
3,353,125,1449
4,475,194,1854
5,649,292,2318
6,897,432,2849
7,1244,629,3456
8,1727,901,4140
9,2394,1278,4920
10,3311,1794,5760
11,4562,2500,6780
12,6261,3458,7920
13,8562,4754,9180
14,11664,6501,10620
15,15833,8848,12240
16,21422,11993,14040
17,28893,16195,16080
18,38857,21799,18300
19,52118,29253,20880
20,69733,39150,23700
21,93089,52268,26820
22,124007,69627,30300
23,164871,92562,34200
24,218809,122822,38580
25,289907,162694,43380
26,383512,215169,48780
27,506607,284151,54720
28,668315,374735,61320
29,880532,493569,68640
30,1160000,649317,76740
31,1520000,853266,85680
32,2000000,1120000,93600
33,2620000,1470000,104400
34,3440000,1920000,118800
35,4500000,2520000,129600
36,5890000,3300000,144000
37,7710000,4310000,162000
38,10070000,5630000,180000
39,13150000,7340000,198000
40,17160000,9580000,223200
41,22370000,12490000,244800
42,29150000,16270000,273600
43,37970000,21180000,302400
44,49430000,27560000,334800
45,64310000,35840000,370800
46,83640000,46590000,410400
47,108720000,60540000,453600
48,141250000,78630000,500400
49,183440000,102080000,550800
50,238130000,132470000,608400
