Stufe,Holz,Dauer,Arbeiter
1,0,0,30
2,394,1512,38
3,992,2383,50
4,1732,3342,64
5,2788,4396,80
6,3783,5555,96
7,5632,6831,114
8,8139,8234,134
9,10452,9720,154
10,13298,11460,174
11,18478,13320,196
12,23213,15600,218
13,29038,17640,240
14,39494,20100,264
15,49107,22876,288
16,66010,25884,314
17,81766,29160,340
18,101146,32831,366
19,134598,36835,394
20,154304,41238,420
21,205012,46082,448
22,270839,51410,478
23,311541,57271,506
24,411229,63600,536
25,506475,70810,566
26,665201,78601,598
27,767723,87192,628
28,1007959,93600,660
29,1240496,104400,692
30,1526516,115200,724
31,1995717,129600,758
32,2311042,144000,790
33,3020994,158400,824
34,3935195,176400,860
35,4572136,194400,894
36,5624478,212400,928
37,7325850,237600,964
38,9011590,262080,1000
39,11085051,289020,1036
40,13635408,318660,1072
