Stufe,Holz,Marmor,Dauer
1,217,0,12m 5s
2,276,78,17m 14s
3,365,125,23m 12s
4,493,194,30m 4s
5,678,292,37m 57s
6,939,432,46m 58s
7,1.306,629,57m 15s
8,1.815,901,1h 8m
9,2.518,1.278,1h 22m
10,3.483,1.794,1h 37m
11,4.797,2.500,1h 54m
12,6.580,3.458,2h 13m
13,8.991,4.754,2h 34m
14,12.239,6.501,2h 59m
15,16.599,8.848,3h 26m
16,22.435,11.993,3h 56m
17,30.229,16.195,4h 30m
18,40.612,21.799,5h 8m
19,54.414,29.253,5h 51m
20,72.726,39.150,6h 39m
21,96.979,52.268,7h 32m
22,129.047,69.627,8h 31m
23,171.384,92.562,9h 36m
24,227.199,122.822,10h 49m
25,300.689,162.694,12h 10m
26,397.332,215.169,13h 40m
27,524.278,284.151,15h 20m
28,690.854,374.735,17h 11m
29,909.212,493.569,19h 14m
30,1.20M,649.317,21h 30m
31,1.57M,853.266,1T 48s
32,2.06M,1.12M,1T 2h
33,2.70M,1.47M,1T 5h
34,3.53M,1.92M,1T 9h
35,4.62M,2.52M,1T 12h
36,6.04M,3.30M,1T 17h
37,7.89M,4.31M,1T 21h
38,10.29M,5.63M,2T 2h
39,13.42M,7.34M,2T 8h
40,17.50M,9.58M,2T 14h
41,22.79M,12.49M,2T 21h
42,29.67M,16.27M,3T 4h
43,38.60M,21.18M,3T 12h
44,50.19M,27.56M,3T 21h
45,65.23M,35.84M,4T 7h
46,84.73M,46.59M,4T 18h
47,110.02M,60.54M,5T 6h
48,142.78M,78.63M,5T 19h
49,185.22M,102.08M,6T 10h
50,240.18M,132.47M,7T 2h
