Stufe,Holz,Marmor,Dauer
1,52,0,7m 44s
2,82,0,9m 52s
3,119,0,12m 10s
4,167,0,14m 41s
5,227,0,17m 23s
6,301,0,20m 19s
7,391,0,23m 29s
8,501,310,26m 54s
9,635,368,30m 35s
10,797,442,34m 33s
11,993,532,38m 48s
12,1.229,645,43m 23s
13,1.512,783,48m 18s
14,1.850,954,53m 34s
15,2.254,1.164,59m 13s
16,2.736,1.421,1h 5m
17,3.310,1.736,1h 11m
18,3.990,2.121,1h 18m
19,4.798,2.590,1h 26m
20,5.755,3.160,1h 34m
21,6.886,3.853,1h 42m
22,8.220,4.693,1h 51m
23,9.796,5.712,2h 1m
24,11.651,6.946,2h 11m
25,13.836,8.437,2h 22m
26,16.405,10.238,2h 34m
27,19.423,12.411,2h 46m
28,22.966,15.031,2h 59m
29,27.122,18.185,3h 13m
30,31.992,21.982,3h 28m
31,37.695,26.547,3h 44m
32,44.371,32.032,4h 1m
33,52.178,38.619,4h 19m
34,61.303,46.522,4h 38m
35,71.963,56.001,4h 59m
36,84.407,67.360,5h 20m
37,98.929,80.968,5h 43m
38,115.866,97.257,6h 8m
39,135.609,116.748,6h 33m
40,158.613,140.058,7h 1m
41,185.404,167.922,7h 30m
42,216.591,201.215,8h 1m
43,252.882,240.977,8h 33m
44,295.094,288.445,9h 8m
45,344.176,345.090,9h 44m
46,401.225,412.660,10h 23m
47,467.509,493.233,11h 4m
48,544.498,589.276,11h 47m
49,633.890,703.718,12h 33m
50,737.652,840.042,13h 22m
